idProd,nombre
"824",Toronja Roja - Primera
"823",Toronja Roja mediana - Primera
"832",Toronja Rosada - Primera
"848",Tuna - Primera
"845",Tuna Blanca - Primera
"851",Uva Blanca - Primera
"854",Uva Calmeria - Primera
"852",Uva Cardenal - Primera
"857",Uva Flame - Primera
"858",Uva Globo - Primera
"861",Uva Moscatel - Primera
"862",Uva pasa - Primera
"863",Uva Perlette - Primera
"866",Uva Queen - Primera
"869",Uva sin semilla - Primera
"871",Uva Superior - Primera
"872",Uva Thompson - Primera
"876",Yerbabuena - Primera
"878",Zanahoria leña - Primera
"880",Zanahoria mediana - Primera
"884",Zanahoria polvo - Primera
"888",Zapote - Primera
"891",Zarzamora - Primera
